origin,destination,distance_km,time_of_day,day_of_week,traffic_level,avg_historical_eta_min,num_past_trips,on_time_ratio,eta_min
9,18,12.796404722685503,16,6,2,42.3202696988655,175,0.94,36.437375474427164
38,8,8.386464147528585,4,2,2,21.33516479131272,95,0.94,17.989744759723404
35,20,16.49540279912552,22,6,0,22.268793778819454,68,0.7,31.359418177586342
18,28,20.49957774724346,6,3,2,52.150925788987365,102,0.94,54.386856346881956
4,40,13.043449148447248,19,3,2,28.173850160646058,159,0.7,34.97016694059645
48,19,49.945685888966736,7,6,2,168.29698317146236,126,0.97,152.07807400133171
22,38,12.252964475739471,1,4,0,19.482213516425762,122,0.94,19.52041487948497
44,31,41.70110652215999,23,1,2,92.07604320092926,89,0.73,106.63821035590803
34,15,8.796769607433166,14,1,2,21.1122470578396,140,0.85,21.82223509474551
39,45,49.031986638521424,5,4,2,117.67676793245144,174,0.85,119.49703780359691
38,22,12.050649455871158,0,0,1,22.08884045261184,135,0.76,23.53881409640907
10,8,21.66273918439602,3,1,2,55.110008485103485,83,0.94,50.69531620949984
18,48,28.369639271627417,4,0,1,58.64004437445387,168,0.94,52.54942426355247
23,45,6.894000042648573,22,4,0,10.341000063972858,188,0.85,14.749193572296775
25,3,41.02418330647596,4,3,2,94.51971833812064,160,0.7899999999999999,105.24021899792419
3,45,14.459591101360662,3,0,1,28.196202647653294,176,0.85,28.187300399332965
27,47,27.914225178481527,20,5,0,43.54619127843118,56,0.9099999999999999,43.6815567726446
8,41,27.932056723969097,21,4,1,50.11010976280056,87,0.73,58.577858855945294
37,13,30.529391963963466,5,5,0,43.962324428107394,53,0.7899999999999999,54.74609031390308
34,31,3.71881333969142,15,1,1,6.6715511314064075,76,0.73,10.26098309981489
46,27,9.262319329746825,12,6,1,18.783983600726565,148,0.9099999999999999,20.890938957664737
37,31,8.898419903244847,13,1,2,19.647711146364625,136,0.73,22.62338602645617
18,31,15.80051171137674,7,3,2,45.35378881633581,5,0.73,50.656394877397666
48,32,8.100793686058653,18,3,1,19.303381274509167,152,0.76,25.669347327863147
21,26,46.174144717940194,21,1,2,113.03430626951759,42,0.8799999999999999,115.43439441150836
16,34,26.134768075053735,17,2,0,49.94354179142769,41,0.82,50.30883260306037
45,26,31.555182237431534,21,0,2,77.24708611723241,111,0.8799999999999999,78.91161552973126
19,1,18.51692059450792,2,3,0,25.55335042042093,52,0.73,31.787409725179458
4,2,14.536060910661666,15,4,2,32.79335341445272,192,0.76,30.273607533617636
24,47,25.655681341378436,23,2,2,64.03658062808059,33,0.9099999999999999,59.914800275501804
39,45,15.421825766906847,12,3,0,23.13273865036027,34,0.85,24.915015287990798
10,29,17.83865036075845,22,6,0,28.89861358442869,153,0.97,21.145139482898234
23,9,23.184792839272,8,1,2,78.12347795121094,60,0.97,67.47217948282393
7,39,25.78095067203342,21,2,2,66.82422414191062,144,0.97,61.4341420813747
34,8,49.2313865773101,22,0,2,125.24464745267689,137,0.94,121.04782449625559
24,19,11.942806819935084,14,3,0,19.347347048294836,41,0.97,19.635046611985395
17,17,24.91083207924971,16,1,1,65.67491769373395,118,0.9099999999999999,69.03283924674857
12,1,8.326075234977608,12,5,1,14.936978971549832,109,0.73,17.359374094117978
28,40,18.149962402690658,7,2,2,50.96509442675537,23,0.7,58.90759709779698
33,25,36.14822521661381,12,4,2,86.75574051987314,154,0.85,85.4363339770036
47,16,9.548645044268154,23,1,2,23.375083068368443,172,0.8799999999999999,22.31286721151231
22,25,29.486214069952116,0,2,1,57.49811743640663,189,0.85,61.34564888348901
8,1,21.418350154832353,4,1,0,29.55732321366865,22,0.73,36.120578205251306
41,22,3.5273976758191763,11,3,2,7.957809156648063,39,0.76,9.66596765440587
31,26,46.72068683244378,8,0,0,92.92744610973068,165,0.8799999999999999,94.93321227290788
35,17,21.26655387435143,14,0,0,33.175824043988236,64,0.9099999999999999,36.303178443358405
5,41,39.41240025180714,8,3,0,70.70584605174201,126,0.73,81.2301217668991
16,13,21.399360947858213,15,3,1,40.059603694390574,72,0.7899999999999999,47.58331802320381
38,7,46.93065575736044,2,2,0,73.2118229814823,47,0.9099999999999999,69.48317082359137
41,26,15.233046387015976,7,3,1,39.38808804290721,126,0.8799999999999999,39.32267799965008
22,44,21.199301834697145,16,2,0,40.51186580610625,45,0.82,41.38432987687392
40,19,38.18434777270503,11,5,2,98.97382942685145,31,0.97,94.57040465763605
42,3,17.83969844876199,17,3,1,43.414690144907176,108,0.7899999999999999,44.07957492167699
19,48,18.853496495423787,15,5,0,29.977059427723827,42,0.94,27.654311253542836
45,22,49.74633549729695,7,1,2,145.89605274647252,42,0.76,157.07954848317374
15,9,28.225111758827246,10,1,1,59.44208536409019,157,0.97,57.152329994001
12,31,34.77964222983726,23,2,0,47.995906277175415,108,0.73,58.72698519254915
34,16,32.52964947352688,23,0,1,64.70147280284498,110,0.8799999999999999,67.68732792263877
32,46,41.56828321067204,0,4,2,101.75915729972517,32,0.8799999999999999,104.59609565895695
7,15,43.229429872645404,16,2,2,134.87582120265367,36,0.85,141.4402970266731
41,27,28.59955049104517,11,2,1,57.99988839583962,81,0.9099999999999999,58.8720491650833
10,27,15.433247673353568,0,3,2,38.52138619269051,80,0.9099999999999999,39.54969758305568
40,12,2.1172121311735035,15,0,0,2.9852691049546403,93,0.76,5.364997843090627
1,25,31.105759302151686,0,2,2,74.65382232516406,31,0.85,74.9263906051963
40,6,41.44797283001536,7,6,2,131.90402873424085,180,0.8799999999999999,131.8207191045999
39,32,23.076450470071315,16,4,1,54.98887382513295,75,0.76,61.51747421695462
39,38,9.07060088405235,19,4,1,18.74893202733621,164,0.94,16.89280836849037
33,47,15.116021573846405,9,3,1,39.85187927728867,83,0.9099999999999999,34.30992984601073
24,16,25.989457546081365,19,3,0,39.76387004550449,97,0.8799999999999999,36.21477983009916
35,14,41.99737972990566,20,6,2,98.77783712473813,26,0.82,105.11221330550788
14,27,9.41590415735261,10,6,2,23.502096776752115,136,0.9099999999999999,25.722264763409655
39,34,30.995343909766195,4,2,2,72.90104887577007,16,0.82,77.09484882472178
28,49,37.91506208357673,15,6,0,61.422400575394306,150,0.97,65.50829426967987
23,2,46.86632849640634,0,0,2,105.73043708789271,176,0.76,115.11890214369542
25,12,6.718480892264111,21,2,1,12.314975475520116,75,0.76,15.064713977628031
28,13,46.39319007406331,9,2,2,138.95688290983443,178,0.7899999999999999,154.69972449033114
2,13,30.471909223549495,18,4,2,91.26946250637546,141,0.7899999999999999,102.26242712562511
7,23,38.56837778418201,17,4,2,115.52000513918196,5,0.7899999999999999,127.35253949681095
13,43,3.6349607688592176,11,3,2,8.374949611451637,44,0.7899999999999999,12.301071812289461
6,2,25.80125962638916,23,1,0,36.37977607320872,130,0.76,40.72576317565686
22,40,31.508854029958894,19,3,0,42.53695294044451,141,0.7,55.087723142096294
33,31,16.03485815376917,21,1,0,22.128104252201457,23,0.73,29.200588060171846
33,31,22.15086019696138,2,3,1,39.73864319334872,138,0.73,42.969980160683086
24,34,28.160608628700302,11,2,2,66.23375149470311,162,0.82,70.9832411073036
42,6,28.074849048876015,22,6,2,68.72723047164848,22,0.8799999999999999,64.35485913393714
28,37,3.0512147449350655,19,5,1,6.187863502728313,176,0.9099999999999999,10.622333309877728
4,13,22.534606562365727,10,1,2,51.919733519690645,108,0.7899999999999999,57.02723841425942
38,26,11.477089584819312,1,6,0,17.55994706477355,125,0.8799999999999999,21.675128134483504
29,34,45.91805882618214,6,4,1,87.74941041683407,14,0.82,92.43558992634968
32,30,48.85241951604337,13,2,1,85.73599625065611,124,0.7,95.40914864336571
28,16,15.682697921251386,15,3,0,23.99452781951462,93,0.8799999999999999,32.0007266302521
28,20,9.58408446530188,22,1,1,16.8200682366048,77,0.7,20.203568231340707
5,24,11.75570339646881,2,0,2,27.649414388494645,157,0.82,26.228755054774652
28,3,24.409860512294735,9,2,2,73.1124142064252,53,0.7899999999999999,82.79471978506335
39,36,43.85077435654574,6,5,2,107.34669562482398,16,0.8799999999999999,113.87523490237972
15,5,25.501774531944342,23,2,2,61.204258876666415,102,0.85,62.43307211959537
30,23,3.7142110240495847,3,2,1,6.953003037020823,150,0.7899999999999999,7.249178147585437
2,33,2.9543945329440566,5,6,0,4.254328127439442,31,0.7899999999999999,5.331857359126299
18,4,12.14215633551958,7,6,2,37.12585721148467,197,0.82,35.914422871770356
22,49,42.295792602862015,2,3,1,89.07493922162742,136,0.97,80.89965400029031
49,19,31.452547319222056,15,0,1,66.23906465428165,187,0.97,67.04623966921298
11,1,28.584934835528284,12,4,0,39.447210073029034,96,0.73,44.79616266127167
14,33,16.629510036549462,13,5,2,38.31439112420996,29,0.7899999999999999,39.074407765327265
21,28,46.54184484726318,21,6,2,118.40245329143754,39,0.94,111.684707075943
49,32,17.22773400314449,10,6,2,38.865767911093975,102,0.76,46.54966762669943
42,37,41.91227621999439,7,4,0,84.99809617414864,119,0.9099999999999999,77.27236886893606
2,24,44.89927238081832,9,0,2,137.28401523159008,148,0.82,145.8927657940282
12,41,24.6834156475907,19,1,1,44.28204767177772,160,0.73,58.118480415620546
41,19,44.82017420455639,12,5,0,72.60868221138136,153,0.97,73.72683075654268
3,27,14.563361082161308,4,4,1,29.534496274623134,119,0.9099999999999999,30.629336426654433
42,8,33.26323788298052,16,3,1,89.38164651535695,8,0.94,89.28350355988782
14,31,5.3102236776949265,17,2,1,12.38450366112011,108,0.73,18.108812396585122
45,13,24.222776490527302,5,4,0,34.88079814635931,164,0.7899999999999999,37.482643644226876
15,35,11.649258305759048,13,2,1,22.716053696230144,170,0.85,26.17191671720997
22,40,4.0754006185995415,13,1,2,8.802865336175012,167,0.7,15.733568230079307
33,43,1.1825498958034157,4,6,2,2.72459495993107,7,0.7899999999999999,5.0
7,46,16.91285370559961,0,2,2,41.402665871307846,89,0.8799999999999999,43.294981899326395
28,6,29.886999132301376,17,1,1,77.27881365639168,125,0.8799999999999999,78.66629417185887
25,7,23.30628703490671,14,0,2,58.17249243912715,53,0.9099999999999999,57.2514139386067
39,46,15.786695627455307,17,3,0,31.399737603008607,84,0.8799999999999999,31.5667737458989
49,19,49.5688015080363,9,6,2,167.02703356147913,23,0.97,156.27759858689498
33,2,47.03672695900421,12,1,1,86.21832051585473,42,0.76,97.07097180696947
21,15,7.157012035037346,23,1,1,13.956173468322827,6,0.85,17.73070455096205
20,41,21.340263906756242,5,1,1,38.284433448720705,196,0.73,45.29018839723765
21,18,32.79349976568693,15,0,2,83.42666340390757,172,0.94,79.11522244687131
40,4,36.9410490789669,3,4,0,54.30334214608134,83,0.82,54.88662589624147
16,36,18.952235590565028,1,2,1,37.69599658963384,5,0.8799999999999999,36.42649647375913
9,10,37.567808824032035,22,5,2,81.1464670599092,70,0.7,96.35600395697459
17,18,7.083350632623236,3,2,1,14.641285757632229,89,0.94,11.860071924771713
2,1,17.25881863762753,15,4,0,23.817169719925996,37,0.73,30.123823532232997
6,30,36.10522561203935,12,0,1,63.36467094912906,134,0.7,75.9196667621039
5,22,31.65845672275838,19,2,2,71.42147836654291,199,0.76,83.05793260925293
38,43,42.02330052822109,13,2,2,96.8216844170214,169,0.7899999999999999,103.17541229807425
36,17,3.2959941106905988,16,0,0,6.684276056480535,171,0.9099999999999999,5.0
35,11,9.545194173329378,21,2,1,17.124078346952903,167,0.73,23.02640926324687
23,9,3.3762345313263564,19,3,2,8.751199905197916,18,0.97,8.541442522437016
36,10,10.413596988211355,17,2,0,18.27586271431093,112,0.7,20.917353587927202
8,23,1.2098577210138153,3,3,0,1.742195118259894,115,0.7899999999999999,5.0
45,5,25.706304782264446,4,5,0,38.559457173396666,24,0.85,41.70058860453575
25,20,26.887405382844516,11,5,1,47.18739644689214,33,0.7,51.80897571613975
46,42,33.236697288893744,15,0,1,60.92286613054224,115,0.76,72.07644994884153
8,38,19.860709912851128,16,4,0,41.05208738986329,144,0.94,37.961904111774295
25,32,1.1571768435740162,18,6,0,2.121105154271172,45,0.76,7.464860740753575
35,44,34.02066656597422,2,6,1,65.01349380757674,99,0.82,64.72790475589012
25,39,3.6602632996477165,4,2,2,9.487402472686881,19,0.97,9.789536358110379
22,32,43.44235111006945,3,5,0,61.25371506519792,26,0.76,67.73451234221375
9,43,2.1100453976889306,12,5,1,3.9500049844736775,118,0.7899999999999999,5.0
19,7,26.993281039574992,15,2,2,67.37522947477919,113,0.9099999999999999,67.92460817004462
12,41,44.85097623689052,2,6,1,80.46265136898158,151,0.73,86.41040037944606
15,15,29.051989213650227,20,4,1,56.651378966617955,182,0.85,57.47591975271541
34,36,30.812420580652567,7,5,0,61.285904534917954,42,0.8799999999999999,64.8390678485956
31,45,34.39893156853288,15,5,2,82.55743576447892,71,0.85,83.44405090552819
30,25,6.998033538792884,18,5,2,21.8338646410338,171,0.85,19.777678125718253
18,5,34.07142793971742,0,6,2,81.7714270553218,14,0.85,86.62563927866748
48,19,44.137389218627945,20,6,2,114.40411285468365,166,0.97,105.81675837786712
5,20,48.73682080893051,23,2,1,85.53312051967305,189,0.7,99.5238295279899
17,46,22.709547968559004,23,3,1,45.16929090946386,24,0.8799999999999999,49.171402815126584
6,47,17.880737732199798,3,4,2,44.6303213795707,32,0.9099999999999999,40.18438222184682
17,28,37.91217116421954,9,5,0,78.36445779644178,138,0.94,73.43705680905957
48,47,27.600840116670415,5,2,0,43.057310582005854,97,0.9099999999999999,44.74582389136504
18,22,13.607928068296493,10,2,0,19.187178576298056,197,0.76,17.695820856833535
45,21,9.435736363515446,23,5,1,16.92771103614671,111,0.73,24.719310427141878
25,41,9.34128472904444,18,6,0,16.75826480390573,132,0.73,18.548600048404726
35,33,23.499674793701452,18,6,1,57.18880857795186,51,0.7899999999999999,64.69726812155568
23,26,9.336095875166857,10,1,1,18.56949469570688,68,0.8799999999999999,21.259621777600806
14,23,1.9662282565628029,22,6,2,4.530189903120697,39,0.7899999999999999,5.0
38,35,3.55234997351481,22,5,1,6.92708244835388,33,0.85,5.697858586264819
48,37,46.56434265369532,19,1,0,72.64037453976471,27,0.9099999999999999,70.97485754633016
13,25,4.575105716846652,19,0,2,10.980253720431966,179,0.85,13.44771407451605
39,2,4.585853838467018,15,1,1,8.405870085910045,18,0.76,6.412376372408626
13,5,23.10823383114309,2,6,0,34.66235074671463,105,0.85,32.09244550292276
36,8,13.009913834416595,6,5,1,26.891491895739108,104,0.94,30.12637212609858
39,23,48.17199875645239,18,4,0,90.17798167207886,15,0.7899999999999999,95.67611906193692
23,31,45.638306135392405,7,4,1,106.43765756896218,169,0.73,123.00278542617883
37,40,20.83241918489209,4,2,2,44.99802543936691,102,0.7,52.39106177966816
14,12,22.9878444513967,22,6,0,32.41286067646935,29,0.76,35.66329464392538
4,39,19.38056900070294,11,1,2,50.23443484982203,30,0.97,51.08361495946012
5,33,2.855439715513283,20,2,1,5.345383147440866,141,0.7899999999999999,5.546460394678869
22,3,15.349495123480725,6,1,2,35.3652367644996,125,0.7899999999999999,37.31553902014697
45,18,7.011000010987221,8,5,2,23.18677923633694,85,0.94,21.327664965866813
7,15,6.016146170741014,8,3,2,18.770376052711967,84,0.85,17.82311207706081
23,44,28.482217073883003,8,4,0,54.42951682819043,11,0.82,55.52950285478333
35,46,5.83947802796455,10,6,2,14.29504221245722,11,0.8799999999999999,12.85276061277804
10,41,6.043634865967916,7,1,1,14.094965234410374,109,0.73,21.137557900696862
36,26,24.54517202614808,19,6,2,60.08658112001051,75,0.8799999999999999,62.45668125264281
15,25,22.671835891009298,7,0,2,70.73612797994902,54,0.85,71.82262217276848
40,16,7.744104471486099,10,5,1,15.403023793785854,78,0.8799999999999999,18.408394712519915
29,38,1.2180022156342871,20,4,2,3.0985976365736265,123,0.94,5.0
27,5,10.455747646624348,10,5,1,20.38870791091748,62,0.85,25.12740420339201
9,14,12.558720454919996,0,1,0,18.461319068732397,73,0.82,23.40171889642644
23,7,40.212173736834515,0,6,2,100.36958564713896,60,0.9099999999999999,104.95538491590501
42,25,45.856479175833535,10,5,1,89.42013439287538,134,0.85,95.13739274189763
1,15,20.89127547691052,15,0,0,31.33691321536578,15,0.85,33.58872424342227
38,10,20.84630959854791,22,3,0,28.14251795803968,184,0.7,37.01905341629562
25,19,35.91158290423347,3,5,2,93.08282288777316,113,0.97,84.8274974698605
36,43,31.71917876952976,13,3,2,73.08098788499656,52,0.7899999999999999,78.13707279173357
33,28,10.022869147977048,6,2,2,25.49817911245361,153,0.94,24.150810131246338
22,41,6.2767669924972065,10,1,1,11.26051998453999,188,0.73,17.00728379238069
16,45,22.44298264209749,10,3,0,33.664473963146236,16,0.85,32.10677312369392
31,45,28.676589794975385,7,6,1,72.6951551302626,44,0.85,71.98982469146152
7,18,7.7966725547816536,0,4,0,12.39670936210283,33,0.94,12.544963172779601
29,43,15.370401177013783,1,5,0,22.133377694899846,18,0.7899999999999999,26.17652853090014
5,45,15.99120682509817,12,5,0,23.986810237647255,149,0.85,22.597172816956444
32,48,13.803611850184037,5,5,1,28.532065694330402,42,0.94,29.25130148346898
31,18,23.57730204829776,7,2,0,48.73428333383147,79,0.94,50.63264588826201
5,12,33.000115631667185,2,5,0,46.530163040650734,163,0.76,55.47756685343139
38,29,25.960104297183626,1,2,0,42.05536896143748,124,0.97,40.23367569003482
21,46,10.871371550119866,3,4,2,26.61311755469343,137,0.8799999999999999,26.445689474907653
39,45,6.044013305322588,9,2,1,15.321573728992764,24,0.85,20.98809184780479
3,28,41.27165268203632,3,6,1,85.30850609376907,194,0.94,81.49169138620482
9,8,24.4859294531715,5,5,1,50.61241617970549,21,0.94,51.14159704173425
25,21,4.044820022559983,7,4,1,9.433329256614394,143,0.73,16.682158607634527
10,35,13.647953482828342,6,3,1,26.613509291515268,129,0.85,29.91771880915053
17,28,40.39765514082359,0,3,2,102.77163467825523,85,0.94,95.12655110731131
33,17,37.83458991390395,2,5,2,94.43513642510425,168,0.9099999999999999,88.72040173372525
8,17,43.91501501197151,22,1,0,68.50742341867556,179,0.9099999999999999,66.1653396630912
34,3,30.50230347408291,16,5,2,91.36049936557315,18,0.7899999999999999,101.2927060567572
6,15,21.722390783544697,2,1,0,32.583586175317045,191,0.85,34.89545136110859
9,33,21.90511488016808,6,0,0,31.543365427442033,52,0.7899999999999999,40.85894075409373
29,12,10.506002180154242,9,5,1,25.034752595089547,159,0.76,29.216254735256392
39,49,32.88914911437621,21,4,1,69.2645480348763,165,0.97,63.536320167419916
9,5,29.66836904854985,21,2,2,71.20408571651964,113,0.85,69.94018197868556
15,29,8.588356160012959,18,4,2,28.93932491677967,173,0.97,30.49775738024791
46,25,44.39748308222337,2,5,0,66.59622462333505,166,0.85,68.57592767441034
49,41,19.054941962219257,11,5,1,34.18456588022135,106,0.73,34.645202910251044
29,44,3.4371995105323556,11,6,2,8.0842932487721,39,0.82,8.613034671733459
22,27,17.06616511820941,15,5,2,42.59714813505069,89,0.9099999999999999,38.70884028342821
17,31,43.62297902086721,20,3,1,78.25962436343579,180,0.73,88.38139625053894
31,35,45.930872707227444,7,1,1,116.43476231282158,44,0.85,119.94638111153422
29,26,25.02952244572204,13,0,1,49.783720144541135,199,0.8799999999999999,47.263416274612794
15,10,47.86065706359748,6,4,0,64.6118870358566,40,0.7,74.63557222425092
2,22,43.88684865138683,5,4,1,80.44459357799205,134,0.76,87.45480440163416
8,12,41.43630513786204,7,4,2,121.52439570832183,129,0.76,133.33490549861511
47,23,43.12579316942809,17,0,0,80.73148481316939,43,0.7899999999999999,84.60323758956626
21,31,19.71189519627235,10,4,2,43.52386459336936,97,0.73,48.41491639468118
24,11,38.06697809702164,16,5,0,68.29215870605682,33,0.73,75.55496475748672
23,13,29.289611150731314,16,5,0,54.83015207416903,76,0.7899999999999999,61.273313245098514
39,41,36.26451608527503,8,3,2,104.09366697117345,192,0.73,119.8575360166961
4,19,9.711519271457956,22,0,1,20.452459585690455,15,0.97,22.635233029791436
5,10,36.83830167697216,1,3,1,64.65121944308615,174,0.7,81.80487973761427
14,35,47.92202927551441,21,4,1,93.44795708725312,137,0.85,98.28337084163601
24,36,15.830502796690048,0,3,1,31.486870062616507,150,0.8799999999999999,32.95910905833061
33,41,49.32190487382572,9,4,1,115.02854654673635,60,0.73,134.0037162302109
25,38,19.540424725463183,19,3,2,49.710840501578346,190,0.94,48.859550024211465
22,49,10.78645135403061,16,3,1,29.531146517065014,54,0.97,27.658314143842187
46,29,6.502025260211681,7,2,0,13.693265198005802,103,0.97,12.66704553391506
8,15,39.46313375112071,21,4,0,59.19470062668106,12,0.85,57.9055317532954
29,43,28.186444618451848,3,1,1,52.765024325741855,178,0.7899999999999999,59.788795483146835
27,13,16.049433389439415,16,3,1,39.05790109653976,142,0.7899999999999999,42.300212385627546
24,15,30.814068119894138,12,2,1,60.08743283379358,36,0.85,66.23861274167932
40,41,17.272958204209232,4,4,0,23.83668232180874,134,0.73,30.053954631610747
14,44,22.969530109094478,22,6,0,33.765209260368884,40,0.82,33.81679492270489
47,17,43.27054216190147,18,4,0,87.75265950433618,91,0.9099999999999999,89.63642638628687
17,36,33.74015736609907,0,0,2,82.59590523221053,104,0.8799999999999999,75.23758487341435
27,46,38.3576901455311,2,4,1,76.29344569946136,186,0.8799999999999999,82.38331291746995
26,40,29.591184022009237,1,2,2,63.91695748753996,69,0.7,71.26463631874252
42,1,49.57850439539543,9,0,1,115.62698795094124,7,0.73,133.95364664652573
22,33,12.829093248253741,10,1,0,18.473894277485385,89,0.7899999999999999,21.334121245463184
14,9,13.852266875221924,17,6,1,37.92473625098259,185,0.97,38.69734009338495
2,42,5.535387998178311,16,2,2,16.234185921057353,160,0.76,17.11329983901028
18,4,28.146955601464814,0,1,1,53.78883215439926,16,0.82,50.42592429049306
41,49,31.054602584010027,11,0,0,50.308456186096244,15,0.97,45.87953156512946
1,9,36.57211707204217,18,4,0,77.0208785537208,152,0.97,71.08603515272614
44,21,17.436850371513792,21,5,2,38.50056562030246,145,0.73,37.96068064992938
27,12,1.6005832913863327,7,2,0,2.9338691731111486,113,0.76,5.0
7,40,31.97924731732768,1,0,2,69.0751742054278,22,0.7,78.127650709288
15,20,49.93607913349875,3,2,2,107.8619309283573,59,0.7,128.98464062490117
28,37,15.432918335709632,8,4,0,31.297958384819136,170,0.9099999999999999,29.89764698073765
16,4,10.012788170981967,10,0,1,19.134438194746544,32,0.82,26.111119319576975
6,23,14.806580933491306,8,1,1,36.03329535974444,44,0.7899999999999999,38.34260336786784
33,45,21.845358264075315,2,0,2,52.42885983378076,93,0.85,55.29289942781778
33,46,13.294733518675669,8,3,2,42.30915994983345,148,0.8799999999999999,41.83586370476801
6,11,18.001041243008967,6,1,0,24.841436915352375,166,0.73,23.58984163981595
14,20,32.272130190388765,11,1,0,43.567375757024834,120,0.7,50.69854798730565
12,21,17.906371355288123,1,0,2,39.53726795247618,101,0.73,47.55619730385128
33,28,20.406888294399078,18,5,1,54.835349535879764,80,0.94,54.15820878521217
36,27,2.9615318771639334,10,3,0,4.619989728375736,13,0.9099999999999999,5.0
36,6,45.97918257952062,7,6,1,118.88837239586645,57,0.8799999999999999,114.9843329564749
46,38,20.93741203582783,21,2,0,33.290485136966254,46,0.94,33.71636723358651
38,12,17.07903228570492,17,1,0,31.30586617969712,16,0.76,36.16117013545704
16,16,5.237725616023841,3,1,2,12.821952308026361,150,0.8799999999999999,15.402467035497988
6,42,32.074977554364,3,6,0,45.225718351653235,73,0.76,49.59952812975634
31,34,43.32742256292399,0,4,2,101.90609786799722,104,0.82,102.67617908202554
45,20,3.016506802567615,13,2,0,4.07228418346628,44,0.7,6.3975263653125936
48,45,8.11835090093574,8,4,0,15.830784256824694,120,0.85,16.278279489308982
12,20,8.173101615424159,9,3,2,22.95006933611104,31,0.7,31.20513298273112
12,28,30.51146791204185,12,0,0,48.513233980146545,137,0.94,46.40260738781878
2,13,46.14029463320007,12,4,1,86.37463155335053,149,0.7899999999999999,93.61606399763072
7,9,22.45064998620997,0,0,1,47.28106887095821,65,0.97,45.293203493546045
28,25,17.84651596149868,2,1,1,34.80070612492243,46,0.85,34.05393410226671
27,28,38.526193594237874,18,4,1,103.52373480707661,157,0.94,96.90046040715903
19,40,37.38588402602692,22,3,0,50.47094343513634,48,0.7,59.149869802368976
16,20,13.091050824583272,20,1,0,17.67291861318742,39,0.7,18.053551886277486
41,44,8.880491753086417,21,0,0,13.054322877037034,71,0.82,13.112997787898397
